City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Bougouni,ML,11.42,-7.48,78.85,65,4,2.35,clear sky
325,San Matias,BO,-16.37,-58.4,91.71,36,68,5.57,light rain
326,Lethem,GY,3.38,-59.8,91.08,49,48,3.49,scattered clouds
327,Sisimiut,GL,66.94,-53.67,35.67,84,100,7.0,overcast clouds
328,Denpasar,ID,-8.65,115.22,80.6,88,40,9.17,scattered clouds
329,Ilhabela,BR,-23.78,-45.36,73.49,80,8,4.99,clear sky
330,Deputatskiy,RU,69.3,139.9,11.68,96,90,1.88,overcast clouds
331,Victoria,HK,22.29,114.16,78.01,81,100,8.99,light rain
332,Lavra,PT,41.26,-8.72,55.99,82,20,8.05,few clouds
333,Gimli,CA,50.63,-96.99,54.0,65,23,17.0,few clouds
334,Mastic Beach,US,40.77,-72.85,60.8,87,90,10.29,mist
335,Bonavista,CA,48.65,-53.11,45.0,77,0,4.0,clear sky
336,Matay,EG,28.42,30.78,72.5,54,5,9.28,clear sky
337,Georgetown,MY,5.41,100.34,75.2,94,20,3.36,few clouds
338,Tabory,RU,58.52,64.55,42.98,84,33,8.5,scattered clouds
339,Pacific Grove,US,36.62,-121.92,88.0,53,1,3.36,clear sky
340,Kodiak,US,57.79,-152.41,46.4,87,90,5.82,moderate rain
341,Miranda,CO,3.25,-76.23,84.2,51,75,2.24,broken clouds
342,Nosivka,UA,50.93,31.58,60.69,73,0,12.46,clear sky
343,Pronsk,RU,54.1,39.61,57.99,69,63,7.63,broken clouds
344,Rawson,AR,-43.3,-65.1,75.99,26,65,27.49,broken clouds
345,Puerto Carreno,CO,6.19,-67.49,86.34,62,83,4.81,broken clouds
346,Summerside,CA,46.4,-63.79,55.0,73,4,11.65,clear sky
347,Ginda,IN,30.69,78.49,57.33,51,0,5.88,clear sky
348,Chifeng,CN,42.27,118.96,31.73,65,45,6.4,scattered clouds
349,Olafsvik,IS,64.89,-23.71,46.99,88,100,27.76,heavy intensity rain
350,Jining,CN,35.41,116.58,55.33,88,100,5.39,light rain
351,Richards Bay,ZA,-28.78,32.04,68.59,65,58,13.94,broken clouds
352,Rivadavia,AR,-33.19,-68.46,87.8,14,0,2.24,clear sky
353,Yatou,CN,37.15,122.38,56.16,65,100,14.74,overcast clouds
354,Codrington,AU,-38.27,141.97,46.51,95,92,9.17,overcast clouds
355,Faruka,PK,31.89,72.41,74.91,31,0,5.84,clear sky
356,Kendari,ID,-3.94,122.5,74.03,91,37,2.64,scattered clouds
357,Rudnogorsk,RU,57.26,103.75,23.76,92,76,1.79,broken clouds
358,Presidente Prudente,BR,-22.13,-51.39,90.09,30,52,5.82,broken clouds
359,Cabo San Lucas,MX,22.89,-109.91,87.8,58,40,11.41,scattered clouds
360,Nizhnyaya Maktama,RU,54.86,52.43,48.56,51,95,7.14,overcast clouds
361,Marawi,PH,8.0,124.29,73.99,93,86,5.99,overcast clouds
362,Seymchan,RU,62.88,152.43,35.76,83,100,7.11,overcast clouds
363,Wynyard,AU,-41.0,145.72,50.0,66,51,8.99,broken clouds
